Task Editor,Maximize Part,把M,In Tasks Editor
Search,Find Text in Workspace,乒G,In Windows
Edit,Rename,把甲,Editing JSP Source
Navigate,Quick Hierarchy,T,Editing JavaScript Source
Edit,Toggle Comment,/,Editing SQL
Source,Toggle Comment,/,Editing Java Source
Edit,Select Enclosing Element,把,Editing JavaScript Source
Source,Toggle Comment,/,Editing Properties Files
Source,Open External Documentation,F2,Editing Ant Buildfiles
Navigate,Open External JSDoc,F2,JavaScript View
Edit,Quick Diff Toggle,把Q,Editing Text
Task Repositories,Mark Task Incomplete,把玉,In Tasks View
Task Repositories,Open Selected Task,,In Tasks View
Source,Surround With Quick Menu,乒Z,JavaScript View
Source,Toggle Comment,7,Editing JavaScript Source
Navigate,Open Maven POM,把田,In Windows
Window,Next View,F7,In Windows
Views,Documentation,乒Q J,JavaScript View
